#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.kgXref.mRNA	mm10.kgXref.geneSymbol
uc007cod.1	chr1	+	132017592	132032610	BC041679	Elk4
uc011wrr.1	chr1	-	132022810	132068062	BC058790	Mfsd4a
uc007coe.2	chr1	-	132026620	132068062	NM_172510	Mfsd4a
uc007cof.2	chr1	-	132026807	132068062	AK044667	Mfsd4a
uc011wru.1	chr1	-	132036782	132068062	NM_001114662	Mfsd4a
uc007coh.2	chr1	-	132113546	132139685	NM_008795	Cdk18
uc007coj.2	chr1	+	132191435	132257382	NM_001033250	Lemd1
uc011wrv.1	chr1	+	132198087	132198184	NR_029777	Mir135b
uc007con.1	chr1	+	132298625	132307357	NM_144810	Klhdc8a
uc007cop.2	chr1	+	132316124	132333488	NM_001195025	Nuak2
uc007coo.2	chr1	+	132316124	132333488	NM_028778	Nuak2
uc007cot.2	chr1	-	132356314	132391386	NM_178874	Tmcc2
uc011wrw.1	chr1	+	132417452	132449975	AK020880	Dstyk
uc007cou.1	chr1	+	132417452	132466959	NM_172516	Dstyk
uc007cow.2	chr1	+	132477366	132504490	AK171177	Rbbp5
uc007cox.2	chr1	+	132477366	132505665	NM_172517	Rbbp5
uc007coz.2	chr1	+	132506229	132508639	NM_029025	Tmem81
uc033flb.1	chr1	+	132507457	132508237	CCDS15287	Tmem81
uc007cpa.1	chr1	-	132509424	132542940	NM_177129	Cntn2
uc007cpc.1	chr1	-	132509426	132523485	BC053033	Cntn2
uc011wrx.1	chr1	-	132564689	132642858	NM_001160316	Nfasc
uc007cpd.2	chr1	-	132564689	132707326	NM_001160318	Nfasc
uc007cpe.2	chr1	-	132564689	132741797	NM_182716	Nfasc
uc007cpf.2	chr1	-	132564689	132741797	NM_001160317	Nfasc
uc007cpg.2	chr1	-	132599845	132741797	AK052440	Nfasc
uc007cpi.2	chr1	+	132880354	132940005	NM_010732	Lrrn2
uc033flc.1	chr1	+	132937198	132939391	CCDS15289	Lrrn2
uc007cpk.2	chr1	-	132986104	133025416	NM_008575	Mdm4
uc007cpr.1	chr1	+	133046011	133081337	BC132141	Pik3c2b
uc011wry.1	chr1	+	133046011	133108688	NM_001099276	Pik3c2b
uc007cpt.2	chr1	+	133131165	133139800	NM_133819	Ppp1r15b
uc007cpu.2	chr1	+	133246096	133303435	NM_182930	Plekha6
uc007cpv.2	chr1	+	133246096	133303435	NM_001160268	Plekha6
uc007cpw.2	chr1	-	133249851	133269808	NR_037984	Gm19461
uc007cpx.2	chr1	+	133272208	133303435	AK149273	Plekha6
uc007cqa.1	chr1	+	133309822	133323026	NM_026680	Golt1a
uc007cqb.1	chr1	+	133309822	133329722	AY707860	Kiss1
uc007cqc.1	chr1	+	133309822	133329722	AY707856	Golt1a
uc011wrz.1	chr1	+	133309822	133329722	AY707857	Kiss1
uc007cqd.1	chr1	+	133309822	133329722	AY707858	Kiss1
uc033flf.1	chr1	+	133323965	133329722	AB666166	Kiss1
uc007cqe.1	chr1	+	133327209	133329722	NM_178260	Kiss1
uc007cqf.1	chr1	+	133350565	133360323	NM_031192	Ren2
uc011wsa.2	chr1	+	133363571	133374723	BC145351	Etnk2
uc007cqh.3	chr1	+	133363571	133380319	NM_175443	Etnk2
uc007cqi.3	chr1	+	133365331	133380319	AK087818	Etnk2
uc007cqk.1	chr1	-	133382299	133424212	NM_011439	Sox13
uc007cql.2	chr1	-	133603870	133610280	NM_009227	Snrpe
uc011wsb.1	chr1	-	133619870	133645846	AK134057	Zc3h11a
uc007cqm.1	chr1	-	133619870	133655007	BC066848	Zc3h11a
uc007cqn.2	chr1	-	133619870	133661399	NM_144530	Zc3h11a
uc007cqp.1	chr1	-	133626766	133655007	BC058552	Zc3h11a
uc007cqr.2	chr1	-	133655878	133660885	NM_001166552	Zbed6
uc007cqt.2	chr1	-	133679028	133690016	NM_172842	Lax1
uc007cqs.2	chr1	-	133679028	133690108	NM_001159649	Lax1
uc011wsc.2	chr1	-	133702673	133753749	NM_001167949	Atp2b4
uc007cqv.3	chr1	-	133702673	133753749	NM_213616	Atp2b4
uc007cqu.3	chr1	-	133702673	133753749	JF683384	Atp2b4
uc007cqw.1	chr1	-	133713981	133753749	BC109173	Atp2b4
uc007cqy.2	chr1	-	133897193	133907173	NM_054076	Optc
uc007cqz.2	chr1	-	133897193	133907173	NM_001160421	Optc
uc007cra.2	chr1	-	133897193	133907999	NM_001160420	Optc
uc007crb.3	chr1	-	133900833	133907173	NM_001160422	Optc
uc007crc.3	chr1	-	133910303	133921401	NM_054077	Prelp
uc007crd.1	chr1	+	134037514	134048277	NM_021355	Fmod
uc007cre.1	chr1	-	134074864	134079155	NM_007570	Btg2
uc007crf.2	chr1	+	134111241	134151540	NM_027979	Chit1
uc007crg.2	chr1	+	134182403	134190031	NM_007695	Chil1
uc007crh.1	chr1	+	134193447	134201060	BC118050	Mybph
uc007cri.1	chr1	+	134193447	134201232	NM_016749	Mybph
uc007crk.2	chr1	-	134199214	134235457	NM_001039510	Adora1
uc007crj.2	chr1	-	134199214	134235457	NM_001008533	Adora1
uc007crl.2	chr1	+	134290003	134292548	NM_031189	Myog
uc011wse.1	chr1	-	134296782	134332928	NM_001144855	Ppfia4
uc007crp.2	chr1	-	134296782	134332928	AK173053	Ppfia4
uc007crq.1	chr1	-	134346096	134361999	NM_020588	Tmem183a
uc007crr.1	chr1	-	134346096	134361999	NM_001042485	Tmem183a
uc007crs.1	chr1	-	134355441	134361999	AK006183	Tmem183a
uc007crt.2	chr1	+	134385939	134390983	NM_173771	4933406M09Rik
uc007cru.1	chr1	+	134405989	134411738	NM_028057	Cyb5r1
uc007crw.1	chr1	+	134406027	134409999	AK049717	Cyb5r1
uc007crx.2	chr1	+	134415377	134433350	NM_028320	Adipor1
uc057avn.1	chr1	+	134455530	134490873	NM_153128	Klhl12
uc007csa.2	chr1	+	134455530	134490873	BC034514	Klhl12
uc007csc.1	chr1	+	134494659	134507884	NM_145510	Rabif
uc011wsf.2	chr1	-	134540940	134549682	NM_001145300	Mgat4e
uc007csf.2	chr1	+	134560177	134606791	AK163481	Kdm5b
uc007csg.2	chr1	+	134560177	134631522	AK220451	Kdm5b
uc011wsg.1	chr1	+	134560177	134632878	NM_152895	Kdm5b
uc007csj.1	chr1	+	134646680	134749417	NM_009307	Syt2
uc007csk.1	chr1	+	134709299	134749417	AF257304	Syt2
uc007csl.1	chr1	-	134759066	134846420	AK039445	Ppp1r12b
uc007csm.1	chr1	-	134759066	134955940	BC145746	Ppp1r12b
uc007csn.1	chr1	-	134765896	134955940	NM_001081307	Ppp1r12b
uc007cso.3	chr1	-	134779722	134803721	NR_015606	Ppp1r12b
uc007csp.2	chr1	+	134962564	134974179	NM_026024	Ube2t
uc007csq.1	chr1	-	134986352	135105276	NM_001033409	Lgr6
uc007csr.2	chr1	-	135108497	135132575	NM_007955	Ptprv
uc007css.1	chr1	+	135132724	135145320	NM_177081	Ptpn7
uc007cst.1	chr1	+	135133335	135145320	BC098475	Ptpn7
uc011wsh.1	chr1	+	135133749	135145320	BC145190	Ptpn7
uc007csu.1	chr1	+	135146833	135156268	NM_026823	Arl8a
uc007csv.2	chr1	-	135160249	135167681	NM_134438	Gpr37l1
uc007csx.2	chr1	-	135253573	135258472	NM_001163131	Elf3
uc007csw.2	chr1	-	135253573	135258472	NM_007921	Elf3
uc007csy.2	chr1	-	135262698	135284084	NM_145417	Rnpep
uc011wsi.1	chr1	-	135262698	135284084	NM_001159624	Rnpep
uc007csz.1	chr1	-	135301534	135313737	NM_011590	Timm17a
uc007cta.1	chr1	+	135324812	135368065	NM_053106	Lmod1
uc007ctc.1	chr1	-	135371455	135375063	NM_175259	Shisa4
uc007ctd.1	chr1	-	135373887	135375063	AK020369	Shisa4
uc007cte.1	chr1	-	135382314	135430491	NM_153774	Ipo9
uc007ctg.2	chr1	-	135434579	135585355	NM_173437	Nav1
uc033fll.1	chr1	-	135434579	135585355	CCDS35720	Nav1
uc007ctj.2	chr1	-	135434579	135607295	AK122458	Nav1
uc007ctk.1	chr1	-	135455133	135585709	BC059840	Nav1
uc007ctl.1	chr1	-	135458646	135510451	AK082667	Nav1
uc011wsl.1	chr1	-	135458646	135585709	AF307453	Nav1
uc007cto.1	chr1	+	135729196	135752229	NM_007791	Csrp1
uc007ctq.2	chr1	+	135766084	135769134	NM_013750	Phlda3
uc033fln.1	chr1	+	135766448	135766826	CCDS35722	Phlda3
uc033flo.1	chr1	+	135799420	135810989	NM_021467	Tnni1
uc033flp.1	chr1	+	135799510	135810989	NM_001112702	Tnni1
uc033flq.1	chr1	+	135802593	135809735	CCDS48374	Tnni1
uc007ctt.1	chr1	+	135818597	135833341	NM_133664	Lad1
uc007ctv.3	chr1	+	135836333	135852268	NM_001130179	Tnnt2
uc007ctu.3	chr1	+	135836333	135852268	NM_001130178	Tnnt2
uc033flr.1	chr1	+	135836333	135852268	NM_001130175	Tnnt2
uc007ctx.3	chr1	+	135836333	135852268	NM_011619	Tnnt2
uc033fls.1	chr1	+	135836333	135852268	NM_001130174	Tnnt2
uc007ctw.3	chr1	+	135836333	135852268	NM_001130181	Tnnt2
uc011wso.2	chr1	+	135836333	135852268	NM_001130177	Tnnt2
uc007cua.3	chr1	+	135836333	135852268	NM_001130180	Tnnt2
uc033flt.1	chr1	+	135840860	135852268	NM_001130176	Tnnt2
uc033flu.1	chr1	+	135840864	135852268	CCDS48375	Tnnt2
uc033flv.1	chr1	+	135840864	135852268	CCDS48377	Tnnt2
uc033flw.1	chr1	+	135840864	135852268	CCDS48376	Tnnt2
uc033flx.1	chr1	+	135840864	135852268	CCDS48378	Tnnt2
uc007cub.2	chr1	-	135871393	135919207	NM_019645	Pkp1
uc011wst.1	chr1	-	135953577	136006342	NM_177642	Igfn1
uc011wsu.1	chr1	-	135954569	135982500	EU429483	Igfn1
uc011wsv.1	chr1	+	136008218	136035030	NM_001160145	Tmem9
uc007cue.2	chr1	+	136018000	136035030	NM_025439	Tmem9
uc011wsw.1	chr1	+	136018155	136035030	NM_001160146	Tmem9
uc007cuf.1	chr1	+	136052900	136119822	NM_001081023	Cacna1s
uc007cug.1	chr1	+	136052900	136119822	NM_014193	Cacna1s
uc007cul.1	chr1	+	136131400	136178014	NM_001039472	Kif21b
uc007cum.1	chr1	+	136131400	136178014	AF202893	Kif21b
uc007cuo.2	chr1	-	136213521	136234280	NM_028872	5730559C18Rik
uc007cup.1	chr1	-	136223562	136227662	AK017848	5730559C18Rik
uc011wsy.1	chr1	-	136258913	136260873	NM_001101516	Gpr25
uc011wsz.1	chr1	-	136268122	136282499	AK122436	Camsap2
uc007cuq.1	chr1	-	136268122	136346104	NM_001081360	Camsap2
uc007cur.2	chr1	-	136268122	136346104	BC145258	Camsap2
uc011wta.1	chr1	-	136277193	136346104	BC138367	Camsap2
uc007cus.1	chr1	-	136411915	136415519	NR_024328	9230116N13Rik
uc007cut.1	chr1	+	136415270	136417792	AK076462	Ddx59
uc007cuu.2	chr1	+	136415270	136440220	NM_026500	Ddx59
uc007cuw.2	chr1	+	136624900	136630391	NM_001160251	Zfp281
uc007cux.2	chr1	+	136624900	136630391	NM_177643	Zfp281
uc033fmc.1	chr1	+	136625285	136627967	CCDS15327	Zfp281
uc029qtl.1	chr1	+	136683395	136690805	NR_045324	Gm19705
uc029qtm.1	chr1	+	136683628	136690805	NR_045325	Gm19705
uc007cuy.1	chr1	+	136696210	136725728	NR_037986	Platr22
uc007cva.2	chr1	-	136843583	136949562	AK054487	Nr5a2
uc007cvb.2	chr1	-	136843583	136953630	NM_001159769	Nr5a2
uc007cvc.2	chr1	-	136843583	136960448	NM_030676	Nr5a2
uc007cve.2	chr1	+	137966454	137966718	NR_029820	Mir181a-1
uc033fmd.1	chr1	-	138062858	138175126	NM_001111316	Ptprc
uc007cvh.3	chr1	-	138062858	138175305	NM_011210	Ptprc
uc007cvm.1	chr1	+	138273737	138289462	NM_177397	Atp6v1g3
uc007cvn.2	chr1	-	138483836	138619757	NM_021605	Nek7
uc007cvp.1	chr1	-	138640094	138682075	NR_040304	Gm5833
uc007cvr.1	chr1	-	138825185	138842444	NM_001025565	Lhx9
uc007cvs.1	chr1	-	138825185	138847579	NM_010714	Lhx9
uc007cvt.1	chr1	-	138825193	138847344	AK013209	Lhx9
uc007cvu.2	chr1	-	138830943	138842444	NM_001042577	Lhx9
uc007cvw.1	chr1	-	138851978	138856854	NM_001081226	2310009B15Rik
uc007cwb.2	chr1	+	138963708	139176042	NM_001166501	Dennd1b
uc007cvz.2	chr1	+	138967720	139176042	NM_181347	Dennd1b
uc011wtc.1	chr1	+	139121754	139176042	AK015524	Dennd1b
uc007cwc.1	chr1	-	139198253	139377076	NM_133239	Crb1
uc007cwd.1	chr1	-	139229537	139377076	AF492496	Crb1
uc007cwf.1	chr1	-	139245616	139377076	AY450552	Crb1
uc029qto.1	chr1	+	139379451	139402852	NR_040455	4933436E23Rik
uc007cwg.2	chr1	+	139422382	139453007	NM_172643	Zbtb41
uc007cwh.1	chr1	+	139454772	139494088	NM_009791	Aspm
uc007cwi.1	chr1	+	139454772	139494088	AY971958	Aspm
uc007cwk.2	chr1	+	139501706	139523756	NM_031164	F13b
uc007cwl.1	chr1	-	139547063	139560222	NM_015780	Cfhr1
uc011wte.1	chr1	-	139697918	139781239	NM_001160303	Gm4788
uc007cwn.2	chr1	-	139697918	139781239	NM_001029977	Gm4788
uc011wtf.1	chr1	-	139697918	139781239	NM_001160304	Gm4788
uc007cwo.2	chr1	-	139697918	139781239	M29009	Gm4788
uc007cwp.2	chr1	-	139810291	139858699	NM_001025575	Cfhr2
uc007cws.1	chr1	-	140085854	140183411	NM_009888	Cfh
uc011wtg.1	chr1	-	140085854	140183411	M12660	Cfh
uc007cwt.1	chr1	-	140085854	140183411	AK087707	Cfh
uc011wth.1	chr1	+	140246256	140610261	NM_001081027	Kcnt2
uc029qtp.1	chr1	-	140570175	140656402	NR_040604	4930590L20Rik
uc007cwx.2	chr1	-	143603275	143702893	NM_145991	Cdc73
uc007cwy.2	chr1	+	143640696	143649937	NM_020025	B3galt2
uc033fme.1	chr1	+	143646127	143647396	CCDS15342	B3galt2
uc007cwz.1	chr1	+	143739348	143749678	NM_001038593	Glrx2
uc007cxa.1	chr1	+	143739567	143749678	NM_001038592	Glrx2
uc007cxb.1	chr1	+	143739614	143749678	NM_023505	Glrx2
uc007cxc.1	chr1	+	143740446	143749678	NM_001038594	Glrx2
uc007cxd.1	chr1	-	143750790	143777051	NM_013835	Trove2
uc007cxe.2	chr1	+	143777277	143807466	NM_019562	Uchl5
uc007cxf.2	chr1	+	143777277	143807466	NM_001159866	Uchl5
uc007cxg.2	chr1	-	143999337	144004149	NM_009061	Rgs2
uc007cxh.1	chr1	-	144138666	144177275	AF498319	Rgs13
uc007cxi.1	chr1	-	144138666	144177372	NM_153171	Rgs13
uc007cxj.2	chr1	-	144244668	144249104	NM_015811	Rgs1
uc007cxl.1	chr1	-	144752840	144775421	NM_022881	Rgs18
uc007cxo.2	chr1	+	146495665	146902472	NM_153539	Brinp3
uc007cxq.2	chr1	+	146497686	146902472	NM_001145807	Brinp3
uc007cxp.2	chr1	+	146497686	146902472	AK083233	Brinp3
uc007cxt.2	chr1	-	149829618	149961290	NM_008869	Pla2g4a
uc007cxu.3	chr1	-	150074872	150099874	NR_015466	Ptgs2os
uc007cxv.2	chr1	+	150100030	150108234	NM_011198	Ptgs2
uc007cxx.2	chr1	+	150319416	150333903	BC037176	Pdc
uc007cxw.1	chr1	+	150319416	150333906	NM_024458	Pdc
uc011wtl.1	chr1	+	150319416	150333906	NM_001159730	Pdc
uc029qty.1	chr1	-	150320680	150346771	NR_040603	2310030A07Rik
uc007cxy.1	chr1	-	150361310	150390356	BC003331	BC003331
uc007cxz.1	chr1	-	150361310	150393055	NM_145511	BC003331
uc007cya.1	chr1	-	150361310	150393055	NM_001077237	BC003331
uc007cyb.2	chr1	+	150392837	150449935	NM_133780	Tpr
uc007cyc.1	chr1	+	150393298	150416241	BC108349	Tpr
uc007cyd.1	chr1	+	150393298	150424810	AK132381	Tpr
uc007cyg.2	chr1	-	150449411	150466165	NM_021400	Prg4
uc007cyh.2	chr1	-	150449411	150466165	NM_001110146	Prg4
uc007cyj.1	chr1	-	150562501	150993435	NM_001024720	Hmcn1
uc029qtz.1	chr1	+	151138033	151144095	NR_038011	C730036E19Rik
uc007cym.1	chr1	+	151344497	151356798	NM_001039511	Ivns1abp
uc007cyn.1	chr1	+	151344497	151364445	NM_054102	Ivns1abp
uc007cyo.1	chr1	+	151344497	151364445	NM_001039512	Ivns1abp
uc007cyp.1	chr1	+	151344497	151364445	DQ914523	Ivns1abp
uc007cyq.2	chr1	-	151367698	151428435	NM_025819	Swt1
uc007cyt.1	chr1	+	151428647	151443708	AK148524	Trmt1l
uc007cyu.1	chr1	+	151428647	151450924	BC061491	Trmt1l
uc007cyv.2	chr1	+	151428647	151458183	NM_026876	Trmt1l
uc007cyx.1	chr1	-	151469405	151500823	NM_011277	Rnf2
uc007cyy.1	chr1	-	151469405	151500823	AK030319	Rnf2
uc007cyz.2	chr1	+	151571372	151719347	NM_022018	Fam129a
uc007cza.2	chr1	+	151677166	151719347	AK029847	Fam129a
uc007czc.2	chr1	+	151755373	151822328	NM_001039644	Edem3
uc007czd.2	chr1	-	151852402	152090320	AK167392	1700025G04Rik
uc007cze.2	chr1	-	151884523	152090320	NM_197990	1700025G04Rik
uc007czf.2	chr1	-	152370735	152386682	NM_025677	Tsen15
uc007czg.2	chr1	+	152399866	152510695	NM_177756	Colgalt2
uc007czh.1	chr1	-	152517529	152625111	NM_016846	Rgl1
uc007czi.1	chr1	+	152750550	152757544	NM_001081197	Apobec4
uc033fmj.1	chr1	+	152756222	152757347	CCDS35738	Apobec4
uc007czj.2	chr1	+	152766541	152775580	NM_026369	Arpc5
uc007czm.2	chr1	+	152800152	152836990	NM_010877	Ncf2
uc007czn.1	chr1	-	152836994	152878168	NM_001160257	Smg7
uc007czp.2	chr1	-	152836994	152902646	NM_001160256	Smg7
uc007czo.2	chr1	-	152836994	152902646	NM_001005507	Smg7
uc007czq.1	chr1	+	152955100	153119261	NM_175460	Nmnat2
uc007czr.1	chr1	-	153122755	153186447	NM_008485	Lamc2
uc007czu.1	chr1	-	153218921	153332786	NM_010683	Lamc1
uc007czw.2	chr1	-	153404185	153414233	NR_033736	E330020D12Rik
uc007czx.1	chr1	+	153425208	153452574	NM_001033162	Shcbp1l
uc007czy.1	chr1	-	153455757	153487660	NM_007842	Dhx9
uc007daa.1	chr1	-	153464339	153487660	AK141824	Dhx9
uc007dac.1	chr1	-	153503015	153549714	NM_028749	Npl
uc007dad.1	chr1	+	153653036	153697665	NM_026380	Rgs8
uc007dae.2	chr1	+	153740352	153745468	NM_011267	Rgs16
uc007daf.1	chr1	+	153749425	153760911	BC003873	Rnasel
uc007dag.2	chr1	+	153749425	153764221	NM_011882	Rnasel
uc011wtu.1	chr1	+	153751858	153760911	AK053125	Rnasel
uc007dah.1	chr1	+	153751967	153760814	AK054205	Rnasel
uc007daj.2	chr1	+	153752844	153764221	AK172300	Rnasel
uc029quf.1	chr1	-	153779386	153844141	NM_001243223	Rgsl1
uc007dal.2	chr1	-	153792620	153821573	AK161463	Rgsl1
uc007dam.1	chr1	-	153849541	153851195	NM_178243	Teddm2
uc007dao.1	chr1	+	153874344	153876871	NM_001008426	Teddm1b
uc007dap.2	chr1	+	153891645	153893060	NM_178244	Teddm1a
uc007daq.2	chr1	+	153899928	153909723	NM_008131	Glul
uc029qug.1	chr1	+	154201186	154205674	NM_001204908	Zfp648
uc007dat.1	chr1	-	154241520	154256906	NR_040629	4930452N14Rik
uc007dav.1	chr1	-	154392518	154725920	NM_009782	Cacna1e
uc007dax.2	chr1	-	155096366	155099636	NM_010500	Ier5
uc007day.1	chr1	-	155127877	155146780	NM_008209	Mr1
uc007dba.1	chr1	-	155135787	155146780	AK041171	Mr1
uc007dbb.1	chr1	+	155158702	155203517	NM_021433	Stx6
uc007dbc.1	chr1	+	155177853	155198255	AK009690	Stx6
uc007dbf.1	chr1	-	155275656	155417444	NM_011273	Xpr1
uc007dbg.1	chr1	-	155282182	155309642	AK087140	Xpr1
uc007dbh.1	chr1	-	155282182	155417444	AK141660	Xpr1
uc007dbk.2	chr1	+	155558119	155572287	NM_026683	Acbd6
uc007dbl.2	chr1	+	155558119	155587794	NM_001145781	Acbd6
uc011wtw.1	chr1	+	155558119	155687233	NM_028250	Acbd6
uc007dbn.2	chr1	-	155701693	155742027	NM_010712	Lhx4
uc007dbo.1	chr1	-	155778154	155812899	NM_023268	Qsox1
uc007dbp.1	chr1	-	155778154	155812899	NM_001024945	Qsox1
uc011wtx.1	chr1	-	155778154	155812899	AK169877	Qsox1
uc007dbs.2	chr1	-	155844963	155973255	NM_001039184	Cep350
uc011wtz.1	chr1	-	156004598	156034817	NM_001160019	Tor1aip1
uc007dbw.2	chr1	-	156004598	156036480	NM_001160018	Tor1aip1
uc007dbu.2	chr1	-	156004598	156036480	NM_144791	Tor1aip1
uc011wub.1	chr1	+	156035663	156053736	NM_001160182	Tor1aip2
uc007dbx.2	chr1	+	156035663	156068859	NM_172843	Tor1aip2
uc007dby.2	chr1	+	156035726	156053736	NM_001160180	Tor1aip2
uc007dcb.2	chr1	+	156040860	156053736	NM_001160181	Tor1aip2
uc007dca.2	chr1	+	156040860	156053736	NM_022329	Tor1aip2
uc007dcc.2	chr1	+	156040860	156068859	AK080959	Tor1aip2
uc033fmm.1	chr1	+	156051877	156052273	CCDS15388	Tor1aip2
uc033fmn.1	chr1	-	156075955	156205026	NM_177838	Fam163a
uc029qui.1	chr1	-	156255295	156303348	NM_001134741	Tdrd5
uc007dch.2	chr1	+	156310718	156328035	NM_130456	Nphs2
uc007dcj.1	chr1	-	156428107	156474328	NM_009230	Soat1
uc011wuf.1	chr1	+	156558786	156649619	NM_001136104	Abl2
uc007dcl.2	chr1	+	156558786	156649619	NM_009595	Abl2
uc011wug.1	chr1	+	156558786	156649619	BC144896	Abl2
uc007dcn.2	chr1	-	156653616	156674339	NM_023141	Tor3a
uc007dco.2	chr1	-	156655326	156674339	BC052851	Tor3a
uc007dcp.1	chr1	-	156678570	156718910	NM_145413	Fam20b
uc007dcq.1	chr1	-	156678570	156718910	BC023737	Fam20b
uc011wui.1	chr1	-	156804165	156939387	NM_001159966	Ralgps2
uc007dcu.2	chr1	-	156804165	156939626	NM_023884	Ralgps2
uc007dcw.2	chr1	-	156804165	156939626	NM_001159965	Ralgps2
uc007dcv.2	chr1	-	156804165	156939626	NR_027640	Ralgps2
uc011wuj.1	chr1	-	156804165	156939626	NM_001159968	Ralgps2
uc007dcx.2	chr1	-	156804165	156939626	NM_001159967	Ralgps2
uc007dcy.2	chr1	-	156813080	156939626	AK018622	Ralgps2
uc007dcz.2	chr1	-	156816523	156939626	AK029049	Ralgps2
uc007dda.1	chr1	-	156818876	156938818	AK165002	Ralgps2
uc007ddb.2	chr1	-	156818876	156939626	AK161080	Ralgps2
uc007ddc.1	chr1	+	156839022	156845615	AK012888	Angptl1
uc007ddd.2	chr1	+	156839022	156861079	NM_028333	Angptl1
uc007ddf.2	chr1	-	157099146	157108650	NM_028540	Tex35
uc007ddg.2	chr1	-	157135182	157412595	NM_177644	Rasal2
uc007ddi.1	chr1	+	157412351	157420236	NR_027984	2810025M15Rik
uc007ddj.1	chr1	+	157458581	157488733	NM_001033284	BC026585
uc007ddm.2	chr1	+	157506795	157568424	NM_033354	Sec16b
uc007ddl.2	chr1	+	157506795	157568424	NR_027641	Sec16b
uc007ddn.2	chr1	+	157526169	157568424	NM_001159986	Sec16b
uc007ddo.1	chr1	+	157535851	157562189	BC051110	Sec16b
uc007ddq.2	chr1	-	158245268	158356260	NM_207583	Brinp2
uc007ddr.3	chr1	+	158362303	158610171	AK138576	Astn1
uc007dds.3	chr1	+	158362303	158679490	AK165200	Astn1
uc007ddt.3	chr1	+	158362303	158691786	NM_007495	Astn1
uc007ddu.3	chr1	+	158362303	158691786	NM_001205204	Astn1
uc011wuk.1	chr1	+	158505624	158505733	NR_030441	Mir488
uc007ddv.1	chr1	-	158711730	158957438	NM_001085376	Pappa2
uc007ddz.1	chr1	+	159232325	159347580	NM_011931	Rfwd2
uc011wul.1	chr1	+	159340306	159340424	NR_039543	Scarna3a
uc007dea.2	chr1	+	159523768	159924922	NM_022312	Tnr
uc007deb.2	chr1	+	160044379	160072782	NR_028111	4930523C07Rik
uc007dec.2	chr1	+	160044379	160078586	NM_001162896	4930523C07Rik
uc007ded.1	chr1	-	160074734	160077918	NR_038030	4930562F07Rik
uc029quk.1	chr1	-	160074734	160077985	NR_038031	4930562F07Rik
uc033fmp.1	chr1	+	160075161	160075461	CCDS48410	4930523C07Rik
uc007dee.2	chr1	-	160085031	160153575	NM_177839	Tnn
uc007def.1	chr1	+	160195259	160201186	NM_025474	Mrps14
uc007deg.2	chr1	-	160202366	160212892	NM_009786	Cacybp
uc007deh.1	chr1	-	160219173	160351571	NM_001038621	Rabgap1l
uc007dej.2	chr1	-	160256571	160792938	NM_013862	Rabgap1l
uc011wum.1	chr1	-	160576667	160577753	NM_001146330	Gpr52
uc007dek.1	chr1	-	160672450	160792938	AK034019	Rabgap1l
uc007del.2	chr1	+	160906410	160974976	NM_001024952	Rc3h1
uc007dem.2	chr1	+	160978605	161003014	NM_080844	Serpinc1
uc007dep.1	chr1	-	161008793	161034848	AK078748	Zbtb37
uc007deo.1	chr1	-	161008793	161034848	AK166242	Zbtb37
uc007deq.1	chr1	-	161017755	161034284	NM_173424	Zbtb37
uc007der.1	chr1	-	161017755	161034284	BC113763	Zbtb37
uc007des.1	chr1	-	161017755	161034848	AK148347	Zbtb37
uc007deu.1	chr1	+	161035165	161038537	NR_002840	Gas5
uc011wuo.1	chr1	+	161038091	161038156	NR_028543	Snord47
uc007dey.2	chr1	-	161040600	161070660	NM_172644	Dars2
uc007dfc.3	chr1	+	161070766	161086724	NM_001159930	Cenpl
uc007dff.1	chr1	-	161088377	161131479	NM_001039482	Klhl20
uc007dfg.1	chr1	-	161088379	161131479	AK053102	Klhl20
uc007dfi.1	chr1	-	161107670	161131479	AK053371	Klhl20
uc007dfj.2	chr1	+	161142711	161170507	NM_028664	Ankrd45
uc011wup.1	chr1	-	161156822	161159314	NM_001195189	4930469G21Rik
uc007dfl.2	chr1	-	161240111	161251210	NM_007453	Prdx6
uc007dfn.2	chr1	+	161395437	161418206	NM_009452	Tnfsf4
uc007dfo.2	chr1	+	161494656	161505290	NM_183391	Tnfsf18
uc007dfr.2	chr1	-	161780691	161788495	NM_010177	Fasl
uc007dfs.2	chr1	-	161780691	161788495	NM_001205243	Fasl
uc007dft.2	chr1	-	161816111	161876661	NM_172645	Suco
uc007dfw.2	chr1	-	161942088	161969148	NM_001204905	4930558K02Rik
uc029qum.1	chr1	-	161942088	161979636	NM_001204904	4930558K02Rik
uc007dfx.1	chr1	+	161969187	161973435	NM_026078	Pigc
uc007dfy.1	chr1	+	161969187	161973435	NM_001039045	Pigc
uc033fmq.1	chr1	+	161970450	161971344	CCDS15419	Pigc
uc007dga.2	chr1	-	161987301	162478034	NM_001038619	Dnm3
uc007dgb.2	chr1	-	161987301	162478034	NM_172646	Dnm3
uc007dgc.1	chr1	+	162004968	162016485	NR_040562	2810442N19Rik
uc007dgf.1	chr1	+	162217622	162225550	NR_029796	Dnm3os
uc007dgh.1	chr1	-	162533671	162548345	NM_144877	Mettl13
uc007dgk.1	chr1	+	162570722	162595270	AK011678	Vamp4
uc007dgl.1	chr1	+	162570827	162599078	NM_016796	Vamp4
uc007dgm.2	chr1	+	162639149	162649694	NM_010865	Myoc
