Gene stable ID	Chromosome/scaffold name	Gene end (bp)	Gene start (bp)	Gene name	Strand
ENSG00000247134	8	33044855	32996178	AC090204.1	1
ENSG00000254346	8	33015026	33014081	MTND1P6	1
ENSG00000238019	6	158398561	158397885	AL360169.1	-1
ENSG00000067715	12	79452008	78863993	SYT1	1
ENSG00000185070	14	85654426	85530144	FLRT2	1
ENSG00000257875	12	82468948	82468456	AC089998.3	1
ENSG00000278993	12	110503441	110501614	AC002350.1	1
ENSG00000229484	1	12528420	12527724	AC243836.1	1
ENSG00000260672	15	72618250	72615810	AC100827.4	1
ENSG00000189127	5	80570488	80556755	ANKRD34B	-1
ENSG00000260144	15	72612326	72605183	AC100827.2	1
ENSG00000133773	12	82358805	82223681	CCDC59	-1
ENSG00000146276	6	89231278	89177501	GABRR1	-1
ENSG00000251339	4	58984152	58780626	AC017091.1	-1
ENSG00000278313	15	72605008	72604399	AC100827.5	-1
ENSG00000258945	14	85529386	85528599	AL049775.3	1
ENSG00000250905	4	149711149	149666057	AC093893.1	1
ENSG00000259512	15	67629135	67627852	HNRNPA1P5	1
ENSG00000250340	4	58536328	58524515	LINC02494	-1
ENSG00000162777	1	111204535	111187174	DENND2D	-1
ENSG00000234017	10	112548872	112548632	AC022018.1	-1
ENSG00000233348	CHR_HSCHR6_MHC_SSTO_CTG1	31643448	31629769	BAG6	-1
ENSG00000251482	4	149790303	149789952	AKIRIN2P1	1
ENSG00000273338	1	78004554	78004346	AC103591.3	-1
ENSG00000241202	3	147387453	147386967	ZIC4-AS1	1
ENSG00000213561	1	78044148	78043383	AC103591.2	-1
ENSG00000137960	1	78138449	77979542	GIPC2	1
ENSG00000213560	1	78092054	78091499	AC103591.1	1
ENSG00000225446	1	90855253	90851759	LINC01763	1
ENSG00000211806	14	22113031	22112347	TRAV25	1
ENSG00000151532	10	112818744	112446998	VTI1A	1
ENSG00000156968	16	15413268	15395754	MPV17L	1
ENSG00000130338	6	158511828	158232236	TULP4	1
ENSG00000233593	1	90851657	90782983	AL590094.1	-1
ENSG00000223502	10	51068553	51062579	AL731537.1	-1
ENSG00000231132	10	51245806	51244894	AC022537.1	-1
ENSG00000177613	10	51699591	51695487	CSTF2T	-1
ENSG00000143032	1	90717237	90711539	BARHL2	-1
ENSG00000258193	12	81998962	81998632	AC011602.1	1
ENSG00000257747	12	81993133	81953719	LINC02426	1
ENSG00000139343	12	95903828	95858928	SNRPF	1
ENSG00000204662	20	23550652	23547764	CST9LP1	-1
ENSG00000253355	8	101133486	101128987	AP003469.1	1
ENSG00000255011	11	90073055	90071136	AP004607.5	1
ENSG00000182177	2	236264409	236194872	ASB18	-1
ENSG00000184083	X	54183281	54068324	FAM120C	-1
ENSG00000224949	X	54147659	54147372	AL589872.1	1
ENSG00000243620	3	147370656	146909685	AC092957.1	-1
ENSG00000125815	20	23496018	23491101	CST8	1
ENSG00000134748	1	52420839	52404564	PRPF38A	1
ENSG00000064886	1	111243440	111200771	CHI3L2	1
ENSG00000279016	4	148819956	148819351	AC093648.1	-1
ENSG00000238231	1	27990524	27990158	AL512288.2	-1
ENSG00000009844	6	142224689	142147162	VTA1	1
ENSG00000179715	12	47236662	47079603	PCED1B	1
ENSG00000236944	10	50963358	50962993	CCDC58P2	-1
ENSG00000257564	12	78794114	78793526	AC068993.1	-1
ENSG00000266389	17	8967070	8965896	AC002091.2	1
ENSG00000233933	9	72275973	72275453	AL135924.1	1
ENSG00000235523	9	72257783	72257336	AL135924.2	1
ENSG00000257165	12	78540675	78448995	AC079362.1	-1
ENSG00000257879	12	78442952	78426826	AC130415.1	-1
ENSG00000254054	8	17907887	17905756	AC087273.2	1
ENSG00000174579	3	136197241	136148922	MSL2	-1
ENSG00000105479	19	48321894	48296457	CCDC114	-1
ENSG00000255559	8	145006046	145002811	ZNF252P-AS1	1
ENSG00000255530	8	145005906	145005561	AF235103.2	-1
ENSG00000259044	14	85239474	85202849	AL357172.1	-1
ENSG00000272982	1	111181491	111181374	AL355816.1	-1
ENSG00000214106	7	154952188	154928485	PAXIP1-AS2	1
ENSG00000250333	4	57658800	57605694	AC093725.2	-1
ENSG00000163291	4	78939438	78887127	PAQR3	-1
ENSG00000251049	4	57605872	57595940	AC107396.1	-1
ENSG00000166783	16	15643166	15594386	MARF1	-1
ENSG00000235724	2	161308303	161222785	AC009299.3	-1
ENSG00000253671	8	17820868	17808941	AC027117.1	1
ENSG00000258532	14	83915050	83906872	LINC02305	-1
ENSG00000258600	14	83018144	83017106	AL359238.1	-1
ENSG00000275481	12	46392126	46388856	AC025031.4	1
ENSG00000211804	14	22096619	22096032	TRDV1	1
ENSG00000278896	12	46407166	46404644	AC025031.5	1
ENSG00000225581	11	89999741	89993536	TRIM53AP	-1
ENSG00000273308	3	197646017	197645669	AC024560.3	1
ENSG00000270020	16	86523897	86520383	AC009108.3	-1
ENSG00000270048	12	123962817	123962555	AC068790.4	-1
ENSG00000156219	4	76112802	76011184	ART3	1
ENSG00000088888	20	3876123	3846799	MAVS	1
ENSG00000253395	8	101126158	101122145	AP003469.2	-1
ENSG00000249042	5	80488063	80482293	AC008771.1	-1
ENSG00000106541	7	16833433	16791811	AGR2	-1
ENSG00000122565	7	26213356	26201162	CBX3	1
ENSG00000060069	18	79756623	79679801	CTDP1	1
ENSG00000233603	22	40798285	40798039	JTBP1	1
ENSG00000255491	8	124857516	124811226	AC100858.3	-1
ENSG00000274828	18	79679358	79677287	AC068473.5	-1
ENSG00000223768	21	45297806	45288050	LINC00205	1
ENSG00000262008	16	71443856	71443055	AC010547.5	-1
ENSG00000259828	6	141451006	141447011	AL355596.1	1
ENSG00000275138	6	141020026	141019788	AL357080.1	-1
ENSG00000143469	1	210171389	209938174	SYT14	1
ENSG00000087008	4	8440723	8366282	ACOX3	-1
ENSG00000230769	22	40789267	40788777	Z98048.1	-1
ENSG00000273824	12	68427737	68426331	AC008033.3	-1
ENSG00000223390	1	52044279	52033391	AL445685.1	1
ENSG00000285012	16	85995899	85986764	AC092723.3	-1
ENSG00000268804	16	85936223	85935281	LINC02132	-1
ENSG00000239383	3	75590649	75590298	AC108724.1	-1
ENSG00000151617	4	147544954	147480917	EDNRA	1
ENSG00000254896	11	133366080	133360029	OPCML-IT1	-1
ENSG00000111364	12	123620941	123602077	DDX55	1
ENSG00000240478	3	182142137	182121884	AC012081.1	1
ENSG00000276434	13	113339958	113339450	AL136221.1	-1
ENSG00000224104	7	153144588	153144313	AC079809.1	-1
ENSG00000220960	6	89060109	89059628	AL079342.2	1
ENSG00000139572	12	54364487	54362445	GPR84	-1
ENSG00000184060	17	30959322	30906344	ADAP2	1
ENSG00000169087	3	122793824	122740003	HSPBAP1	-1
ENSG00000280002	12	130990028	130988312	AC078925.4	-1
ENSG00000281160	3	42266390	42264989	AC018358.1	1
ENSG00000050438	12	51515763	51391317	SLC4A8	1
ENSG00000161638	12	54419460	54395261	ITGA5	-1
ENSG00000234790	1	112748475	112748095	NUTF2P4	1
ENSG00000185896	13	113323672	113297241	LAMP1	1
ENSG00000227757	21	33071104	32913649	AP000282.1	-1
ENSG00000118777	4	88231322	88090264	ABCG2	-1
ENSG00000261602	16	69710583	69709874	AC092115.2	1
ENSG00000232812	1	208733184	208728688	LINC01717	1
ENSG00000170456	12	31591097	31382223	DENND5B	-1
ENSG00000155367	1	112715477	112709994	PPM1J	-1
ENSG00000133627	7	152855378	152759749	ACTR3B	1
ENSG00000183291	1	86914424	86862445	SELENOF	-1
ENSG00000111554	12	68332381	68272443	MDM1	-1
ENSG00000144730	3	57170306	57089982	IL17RD	-1
ENSG00000278112	12	123519856	123519390	AC145423.3	-1
ENSG00000020219	7	152447150	152445477	CCT8L1P	1
ENSG00000248557	3	126626061	126624792	AC024558.1	1
ENSG00000104825	19	38908893	38899700	NFKBIB	1
ENSG00000254850	11	67935926	67935558	AC004923.2	1
ENSG00000214128	7	138838101	138797952	TMEM213	1
ENSG00000258215	12	80861508	80860955	AC078886.1	-1
ENSG00000256299	12	130812622	130810821	AC073912.2	-1
ENSG00000124812	6	49877096	49834257	CRISP1	-1
ENSG00000254792	11	67841049	67840942	AP003716.2	1
ENSG00000165799	14	21044234	21042226	RNASE7	1
ENSG00000138660	4	112270047	112231737	AP1AR	1
ENSG00000284652	1	9422862	9421098	BX323043.1	-1
ENSG00000259776	1	239250818	239247808	AC093426.1	-1
ENSG00000171621	1	9369532	9292880	SPSB1	1
ENSG00000225548	3	27931579	27797563	LINC01980	1
ENSG00000232989	1	238268595	238268494	AL356010.1	-1
ENSG00000273073	2	131463615	131461821	AC073869.3	-1
ENSG00000256708	12	68143690	68143318	AC007458.1	1
ENSG00000237991	1	236981708	236981339	RPL35P1	1
ENSG00000224379	CHR_HSCHR6_MHC_COX_CTG1	31156758	31151089	TCF19	1
ENSG00000259544	15	85727227	85726115	AC021739.4	-1
ENSG00000270457	1	59289640	59289303	AC093424.1	-1
ENSG00000119402	9	120793412	120751978	FBXW2	-1
ENSG00000237352	1	59240555	58933643	LINC01358	1
ENSG00000270951	20	58876981	58876592	AL121917.2	-1
ENSG00000251214	5	124460549	124459912	AC025465.4	-1
ENSG00000250438	5	124469901	124469591	AC025465.3	1
ENSG00000272707	3	194637664	194637505	AC046143.2	-1
ENSG00000241042	1	59056049	59054397	AL592431.2	-1
ENSG00000279328	3	126434569	126432796	AC073439.1	-1
ENSG00000241231	3	181442486	181421058	AC022294.1	-1
ENSG00000263956	1	148152322	148102046	NBPF11	-1
ENSG00000174749	4	112195256	112145397	FAM241A	1
ENSG00000226498	1	236820518	236819634	RPSAP21	1
ENSG00000248432	4	111809694	111804418	AC139718.1	-1
ENSG00000206519	CHR_HSCHR6_MHC_QBL_CTG1	29582944	29582427	RPL13AP	1
ENSG00000257528	12	61880772	61879318	KRT8P19	1
ENSG00000249565	4	78182046	78180866	SERBP1P5	-1
ENSG00000223728	1	147842359	147840962	AC239801.1	1
ENSG00000270343	14	81260239	81259565	UNGP3	-1
ENSG00000138398	2	169641406	169584340	PPIG	1
ENSG00000162601	1	58700092	58654739	MYSM1	-1
ENSG00000106367	7	101161596	101154400	AP1S1	1
ENSG00000230400	20	22685344	22668484	LINC01747	-1
ENSG00000236152	3	6773343	6773037	MRPS36P1	-1
ENSG00000277170	16	4427380	4426902	AC012676.3	1
ENSG00000277440	16	4431103	4430522	AC012676.4	1
ENSG00000270207	3	7607897	7606890	AC068313.1	-1
ENSG00000100302	22	35554001	35540868	RASD2	1
ENSG00000232690	2	234455783	234455157	HSPE1P9	-1
ENSG00000271639	2	233547032	233545482	AC019072.1	1
ENSG00000261298	2	234224514	234222838	AC122134.1	1
ENSG00000249145	4	8327142	8320117	LINC02517	1
ENSG00000249500	4	165762778	165684639	LINC01179	1
ENSG00000235110	3	143856142	143855739	AC107421.1	-1
ENSG00000167799	11	67629930	67627938	NUDT8	-1
ENSG00000226653	1	147419900	147419053	OR13Z1P	1
ENSG00000270210	2	28426719	28425945	AC104695.3	1
ENSG00000052802	4	165343160	165327623	MSMO1	1
ENSG00000178732	3	194398354	194394821	GP5	-1
ENSG00000249577	5	127466118	127465822	AC010424.1	1
ENSG00000279248	11	89534043	89533645	AP003400.4	-1
ENSG00000255295	11	89499198	89498748	AP002404.1	-1
ENSG00000078814	20	35002437	34975403	MYH7B	1
ENSG00000125741	19	45602212	45527427	OPA3	-1
ENSG00000086015	1	46036124	45786987	MAST2	1
ENSG00000163629	4	86815171	86594315	PTPN13	1
ENSG00000125798	20	22585455	22581005	FOXA2	-1
ENSG00000197721	1	207738416	207645113	CR1L	1
ENSG00000283932	20	22584261	22560553	AL121722.1	-1
ENSG00000259974	20	22578642	22547671	LINC00261	-1
ENSG00000229827	2	169577746	169577371	AC093899.1	-1
ENSG00000256906	12	130072685	130070325	LINC02419	1
ENSG00000251611	4	151408835	151407551	FAM160A1-DT	-1
ENSG00000244535	11	32758614	32758268	AL049714.1	1
ENSG00000255046	8	11802568	11797928	AC069185.1	-1
ENSG00000156738	11	60470760	60455752	MS4A1	1
ENSG00000100991	20	35092871	35002404	TRPC4AP	-1
ENSG00000185798	3	196568674	196554177	WDR53	-1
ENSG00000256171	12	8142697	8141168	GCSHP4	-1
ENSG00000283342	1	147124285	147099482	AC241584.2	-1
ENSG00000235066	2	118055033	117995397	AC009303.2	1
ENSG00000225603	1	147052481	147050817	AC244394.1	1
ENSG00000070785	1	44986722	44850522	EIF2B3	-1
ENSG00000229894	4	165279679	165277812	GK3P	-1
ENSG00000197332	19	11686569	11639776	AC008543.1	1
ENSG00000152292	2	85437029	85418721	SH2D6	1
ENSG00000165821	14	21537216	21521081	SALL2	-1
ENSG00000276909	CHR_HSCHR5_2_CTG1_1	69767356	69767062	AC139494.5	1
ENSG00000257096	14	21522660	21521083	AL161747.2	1
ENSG00000260368	8	100914388	100913247	AC027373.1	-1
ENSG00000227590	13	106663847	106663437	ATP5MC1P5	1
ENSG00000258282	14	28673727	28673241	BTF3P2	-1
ENSG00000272609	3	138005122	138004649	AC016252.1	-1
ENSG00000214145	3	194312803	194296465	LINC00887	-1
ENSG00000241478	3	137882237	137880295	HSPA8P9	1
ENSG00000187942	1	21825221	21812265	LDLRAD2	1
ENSG00000184828	18	48410752	48026673	ZBTB7C	-1
ENSG00000173838	17	62808344	62701314	MARCH10	-1
ENSG00000114315	3	194138732	194136145	HES1	1
ENSG00000245928	4	76005942	75980790	AC112719.2	1
ENSG00000232874	3	194131201	194130616	AC080129.2	-1
ENSG00000229353	CHR_HSCHR6_MHC_QBL_CTG1	32043729	31998796	TNXB	-1
ENSG00000284697	12	8138548	8082269	AC006511.5	1
ENSG00000213935	7	4865804	4865432	RPL22P16	-1
ENSG00000258406	14	43275697	43274824	AL445383.1	1
ENSG00000240344	2	200889303	200870907	PPIL3	-1
ENSG00000206378	CHR_HSCHR6_MHC_QBL_CTG1	31869426	31853571	SLC44A4	-1
ENSG00000172053	3	49105135	49095932	QARS	-1
ENSG00000117425	1	44843063	44819844	PTCH2	-1
ENSG00000163513	3	30694142	30606502	TGFBR2	1
ENSG00000184752	12	95003770	94897055	NDUFA12	-1
ENSG00000279865	12	8082163	8080381	AC006511.3	-1
ENSG00000196946	12	8188537	8157034	ZNF705A	1
ENSG00000248771	4	164803795	164754064	SMIM31	1
ENSG00000231793	11	67616257	67612651	DOC2GP	-1
ENSG00000249012	4	151262849	151259503	AC104819.1	1
ENSG00000240048	3	154354799	154352136	DDX50P2	-1
ENSG00000177025	19	57974534	57958437	C19orf18	-1
ENSG00000258385	14	41298734	41296286	AL391516.1	1
ENSG00000255998	12	126695832	126690479	AC069235.1	1
ENSG00000258480	14	40389140	40387558	AL352977.2	1
ENSG00000166974	18	35143470	34976928	MAPRE2	1
ENSG00000250488	4	159777784	159666503	LINC02233	-1
ENSG00000250997	4	160522311	160521829	AC093853.1	-1
ENSG00000140873	16	77435114	77247813	ADAMTS18	-1
ENSG00000249425	4	160586817	160539254	LINC02477	1
ENSG00000106070	7	50793462	50590063	GRB10	-1
ENSG00000166508	7	100101940	100092728	MCM7	-1
ENSG00000186076	12	93641586	93640822	AC012085.1	-1
ENSG00000242635	4	160818869	160818422	RPS14P7	1
ENSG00000159082	21	32728048	32628759	SYNJ1	-1
ENSG00000281691	3	50100988	50099603	RBM5-AS1	-1
ENSG00000235016	3	50156085	50116022	SEMA3F-AS1	-1
ENSG00000001617	3	50189075	50155045	SEMA3F	1
ENSG00000256650	12	15114698	15112363	RERG-IT1	-1
ENSG00000243916	12	15440401	15439527	AC092183.1	1
ENSG00000168843	4	162164035	161383897	FSTL5	-1
ENSG00000134533	12	15348675	15107783	RERG	-1
ENSG00000128191	22	20111877	20080232	DGCR8	1
ENSG00000031691	6	49493107	49463378	CENPQ	1
ENSG00000261632	15	72040265	71972206	AC022872.1	1
ENSG00000166192	15	72143688	72114258	SENP8	1
ENSG00000213655	5	123236370	123236079	AC010493.1	1
ENSG00000234063	CHR_HSCHR6_MHC_COX_CTG1	31025215	31000184	AL663093.1	1
ENSG00000237814	CHR_HSCHR6_MHC_MCF_CTG1	31010713	31009891	SFTA2	-1
ENSG00000185697	8	66614247	66562175	MYBL1	-1
ENSG00000151365	11	78068351	78063861	THRSP	1
ENSG00000122194	6	160753315	160702238	PLG	1
ENSG00000259112	11	78079865	78016971	NDUFC2-KCTD14	-1
ENSG00000254127	22	32200234	32199919	IGLCOR22-1	1
ENSG00000128253	22	32203477	32190435	RFPL2	-1
ENSG00000205078	16	77213215	77199397	SYCE1L	1
ENSG00000255660	12	15155283	15151923	RERG-AS1	1
ENSG00000101213	20	63537370	63528001	PTK6	-1
ENSG00000099901	22	20127357	20115938	RANBP1	1
ENSG00000263620	17	8162975	8150816	AC129492.3	-1
ENSG00000220205	17	8163546	8159149	VAMP2	-1
ENSG00000151366	11	78080219	78068304	NDUFC2	-1
ENSG00000261063	16	77249957	77201474	AC009139.2	-1
ENSG00000182179	3	49813946	49805207	UBA7	-1
ENSG00000109618	4	25160442	25120014	SEPSECS	-1
ENSG00000242686	4	656213	652850	AC107464.1	-1
ENSG00000133256	4	670782	625584	PDE6B	1
ENSG00000231443	3	195938739	195937243	AC124944.2	1
ENSG00000134109	3	5219957	5187646	EDEM1	1
ENSG00000249419	4	162047567	162022733	AC023136.1	1
ENSG00000151364	11	78046191	78015715	KCTD14	-1
ENSG00000260261	3	195954485	195913078	AC124944.3	-1
ENSG00000249568	4	161388417	161378953	AC104793.1	1
ENSG00000226155	3	195913986	195912049	AC124944.1	1
ENSG00000185485	3	195990318	195959748	SDHAP1	-1
ENSG00000254675	11	78023721	78022933	AP003032.1	1
ENSG00000169442	1	26320523	26317957	CD52	1
ENSG00000254829	11	78016495	78015715	AP003032.2	1
ENSG00000261809	7	4512033	4511959	CYP3A54P	-1
ENSG00000169372	12	93894840	93677375	CRADD	1
ENSG00000276529	21	44979274	44978832	AP001505.1	1
ENSG00000013364	16	29848039	29820394	MVP	1
ENSG00000204161	10	49188585	49154725	TMEM273	-1
ENSG00000164916	7	4771443	4682309	FOXK1	1
ENSG00000142669	1	26281522	26279176	SH3BGRL3	1
ENSG00000258344	12	54345083	54276631	AC078778.2	1
ENSG00000261000	1	206504456	206503948	AC244034.2	1
ENSG00000135486	12	54287088	54280193	HNRNPA1	1
ENSG00000231464	3	195998233	195996738	AC024937.2	1
ENSG00000234880	21	44994086	44989864	LINC00163	-1
ENSG00000158062	1	26318363	26281328	UBXN11	-1
ENSG00000232558	1	111856905	111853762	KCND3-IT1	-1
ENSG00000106128	7	30993254	30938669	GHRHR	1
ENSG00000237556	1	111910931	111909336	KCND3-AS1	1
ENSG00000266094	1	206589448	206507530	RASSF5	1
ENSG00000171385	1	111989155	111770662	KCND3	-1
ENSG00000233912	3	5187329	5156905	AC026202.2	-1
ENSG00000257232	CHR_HSCHR6_MHC_MCF_CTG1	31029672	31019512	MUCL3	1
ENSG00000228448	CHR_HSCHR6_MHC_MCF_CTG1	31024900	31024520	HCG21	-1
ENSG00000134108	3	5180912	5122220	ARL8B	1
ENSG00000100191	22	32255341	32218476	SLC5A4	-1
ENSG00000234545	7	92590394	92560793	FAM133B	-1
ENSG00000275348	3	122483229	122482990	AC096861.1	1
ENSG00000272758	3	122443180	122416207	AC083798.2	1
ENSG00000099899	22	20117392	20111866	TRMT2A	-1
ENSG00000169045	5	179634784	179614178	HNRNPH1	-1
ENSG00000250103	4	110615458	110595513	PANCR	-1
ENSG00000214076	22	32273110	32269381	CPSF1P1	1
ENSG00000242082	22	32269666	32205115	SLC5A4-AS1	1
ENSG00000258303	12	93838038	93836167	AC012464.2	1
ENSG00000258274	12	93737823	93707791	AC012085.2	-1
ENSG00000154328	8	11787346	11769639	NEIL2	1
ENSG00000257146	12	59719944	59719698	AC079905.2	-1
ENSG00000227506	CHR_HSCHR6_MHC_MCF_CTG1	31068453	31062263	MUC21	1
ENSG00000118596	12	59789855	59596067	SLC16A7	1
ENSG00000168944	5	123423592	123344885	CEP120	-1
ENSG00000278910	9	69311111	69296682	BANCR	-1
ENSG00000219391	2	44066154	44065894	AC019129.1	-1
ENSG00000224637	2	44166943	44166266	PDSS1P2	1
ENSG00000267332	19	9019984	9019344	BOLA3P2	1
ENSG00000253168	8	17706187	17703988	AC124069.1	1
ENSG00000267154	19	9083398	9083112	OR1M4P	-1
ENSG00000273012	10	33341905	33341655	AL353600.1	1
ENSG00000143486	1	206612463	206571292	EIF2D	-1
ENSG00000120756	3	142713664	142596387	PLS1	1
ENSG00000226412	10	33600040	33578931	AC018980.1	-1
ENSG00000125385	9	37047237	37046835	AL161781.1	1
ENSG00000206516	CHR_HSCHR6_MHC_QBL_CTG1	29464201	29457053	OR2H1	1
ENSG00000203565	10	33687064	33684755	AL450313.1	1
ENSG00000232920	9	37075792	37073531	LINC01400	-1
ENSG00000261683	10	33772658	33759713	LINC00838	-1
ENSG00000214309	7	100128498	100126694	MBLAC1	1
ENSG00000087085	7	100896974	100889994	ACHE	-1
ENSG00000104635	8	22434129	22367249	SLC39A14	1
ENSG00000166997	7	100125511	100119613	CNPY4	1
ENSG00000256814	12	125151394	125150058	AC122688.2	1
ENSG00000268509	3	5188298	5187172	AC026202.3	-1
ENSG00000280117	12	125164918	125160525	AC122688.4	1
ENSG00000280096	18	35082242	35082009	AC015967.2	1
ENSG00000233492	20	21530744	21530202	AL133325.2	1
ENSG00000253505	8	8424632	8414690	AC103957.1	-1
ENSG00000254153	8	8461337	8456909	AC103957.2	-1
ENSG00000247011	17	50944713	50934989	AC005920.1	-1
ENSG00000156234	4	77611834	77511753	CXCL13	1
ENSG00000251665	17	50948750	50944104	AC005920.3	1
ENSG00000253774	8	8562124	8559894	AC114550.3	1
ENSG00000139364	12	125662377	125186836	TMEM132B	1
ENSG00000253343	8	8560965	8555738	AC114550.2	-1
ENSG00000284233	22	24633443	24633272	AP000356.4	1
ENSG00000284070	22	24651657	24645171	AP000356.2	-1
ENSG00000253130	8	8569688	8561391	AC114550.1	1
ENSG00000279082	20	21619674	21569976	LINC01727	1
ENSG00000215481	22	24650012	24632915	BCRP3	1
ENSG00000240281	5	41895599	41895068	AC034222.1	1
ENSG00000205108	9	34729467	34723055	FAM205A	-1
ENSG00000280350	20	21703585	21610787	LINC01726	-1
ENSG00000224044	CHR_HSCHR6_MHC_QBL_CTG1	29469679	29464469	UBDP1	-1
ENSG00000280789	16	29820117	29815952	PAGR1	1
ENSG00000235635	5	56947152	56941307	AC016644.1	1
ENSG00000284128	22	24653356	24644791	AP000356.3	1
ENSG00000227859	CHR_HSCHR6_MHC_QBL_CTG1	29475944	29474898	MAS1LP1	-1
ENSG00000271828	5	56929573	56927874	AC008937.3	1
ENSG00000100284	22	35347994	35299275	TOM1	1
ENSG00000206515	CHR_HSCHR6_MHC_QBL_CTG1	29487775	29486639	MAS1L	-1
ENSG00000155545	5	56971675	56919602	MIER3	-1
ENSG00000280607	16	29812227	29808679	AC009133.5	1
ENSG00000228691	CHR_HSCHR6_MHC_APD_CTG1	31929929	31924682	NEU1	-1
ENSG00000279462	12	125301917	125300936	AC093028.1	1
ENSG00000106290	7	100119841	100107070	TAF6	-1
ENSG00000231437	1	111998842	111989770	LINC01750	1
ENSG00000110079	11	60308972	60280541	MS4A4A	1
ENSG00000279946	1	206544892	206541758	AC244034.3	1
ENSG00000234981	1	206529706	206528915	AC244034.1	1
ENSG00000231246	1	112360528	112177234	AL445426.1	-1
ENSG00000234367	1	145408173	145407772	PFN1P3	1
ENSG00000170545	12	51270890	51244558	SMAGP	-1
ENSG00000234388	1	112363581	112363281	TXNP3	1
ENSG00000278182	1	145508607	145507444	AC239860.2	1
ENSG00000255114	11	119045493	119044188	AP003392.3	1
ENSG00000280125	12	125809808	125808668	AC005252.2	1
ENSG00000275064	1	145520594	145509047	AC239860.1	1
ENSG00000237605	1	206635622	206634649	AL591846.2	-1
ENSG00000227132	CHR_HSCHR6_MHC_MCF_CTG1	31113948	31089020	CR759772.2	1
ENSG00000272150	1	145607858	145572345	NBPF25P	-1
ENSG00000143479	1	206684419	206635536	DYRK3	1
ENSG00000225629	CHR_HSCHR6_MHC_MCF_CTG1	31138413	31131982	CR759772.1	1
ENSG00000225216	2	205764006	205756469	AC007362.1	-1
ENSG00000228677	21	37193926	37187666	TTC3-AS1	-1
ENSG00000277594	CHR_HSCHR17_7_CTG4	37648026	37614320	DDX52	-1
ENSG00000270116	21	37101343	37100814	AP001429.1	1
ENSG00000243762	22	20111875	20110821	AC006547.2	-1
ENSG00000228413	3	196045254	196044695	AC024937.1	1
ENSG00000224105	CHR_HSCHR6_MHC_MCF_CTG1	31191083	31189747	C6orf15	-1
ENSG00000182670	21	37203112	37073226	TTC3	1
ENSG00000072274	3	196082189	196027183	TFRC	-1
ENSG00000255315	11	124531910	124531625	OR8A3P	1
ENSG00000250539	5	123402344	123400922	KRT8P33	-1
ENSG00000254937	11	124539334	124538500	AP000916.1	-1
ENSG00000186513	11	58194053	58189070	OR9Q2	1
ENSG00000235744	CHR_HSCHR6_MHC_DBB_CTG1	32987559	32982126	HLA-DOA	-1
ENSG00000170953	11	124545333	124539635	OR8B12	-1
ENSG00000271177	12	100525420	100525186	AC010200.2	-1
ENSG00000203972	6	49527047	49499958	GLYATL3	1
ENSG00000196119	11	124582942	124566660	OR8A1	1
ENSG00000117262	1	145670648	145607990	GPR89A	1
ENSG00000182552	4	183659225	183639635	RWDD4	-1
ENSG00000151239	12	43806375	43793723	TWF1	-1
ENSG00000255341	11	124602238	124601584	OR8Q1P	1
ENSG00000132780	1	45618904	45583846	NASP	1
ENSG00000272927	4	661945	661209	AC107464.3	-1
ENSG00000197887	11	58204181	58203202	OR1S2	-1
ENSG00000142002	19	4724673	4675224	DPP9	-1
ENSG00000154143	11	124620356	124611490	PANX3	1
ENSG00000280204	11	58216084	58212720	OR1S1	1
ENSG00000180475	11	58228918	58227882	OR10Q1	-1
ENSG00000125813	20	21718486	21705659	PAX1	1
ENSG00000262223	17	81385360	81376001	AC110285.1	-1
ENSG00000224114	1	206696269	206695837	AL591846.1	-1
ENSG00000197261	6	49561907	49550646	C6orf141	1
ENSG00000162889	1	206734283	206684944	MAPKAPK2	1
ENSG00000183283	12	51271362	51238292	DAZAP2	1
ENSG00000255219	11	122308019	122295190	AP000755.2	1
ENSG00000110723	11	108593738	108505431	EXPH5	-1
ENSG00000255015	11	122301763	122294938	AP000755.1	-1
ENSG00000274833	17	81387766	81387415	AC110285.5	1
ENSG00000173926	5	127030808	126867714	MARCH3	-1
ENSG00000255248	11	122556721	122028327	MIR100HG	-1
ENSG00000254589	11	58243097	58242043	EIF4A2P3	-1
ENSG00000262877	17	81390256	81388126	AC110285.2	-1
ENSG00000172772	11	58268260	58266792	OR10W1	-1
ENSG00000178234	7	152122347	152025674	GALNT11	1
ENSG00000272900	11	58292765	58291826	OR10Q2P	-1
ENSG00000255218	11	58318375	58317637	OR5BC1P	-1
ENSG00000255431	11	58344664	58343737	OR5B19P	-1
ENSG00000138399	2	169573875	169529749	FASTKD1	-1
ENSG00000216998	6	49580166	49565924	CYP2AC1P	-1
ENSG00000255096	11	58349630	58348989	OR5B10P	-1
ENSG00000255333	11	58354499	58354004	AP000435.1	-1
ENSG00000159692	4	1249953	1211448	CTBP1	-1
ENSG00000197786	11	58359069	58358124	OR5B17	-1
ENSG00000259928	17	30565576	30564057	AC011840.2	-1
ENSG00000259270	15	85178806	85178628	AC044860.2	-1
ENSG00000233499	11	58366763	58365836	OR5B1P	-1
ENSG00000259449	15	85182083	85181210	NIFKP8	-1
ENSG00000225791	6	52583993	52577307	TRAM2-AS1	1
ENSG00000273408	11	58388486	58387583	OR5B15P	-1
ENSG00000240135	3	72878102	72876737	PSMD12P	-1
ENSG00000227995	10	93881938	93881293	RAB11AP1	-1
